name,address,lat,long
The White House,"1600 Pennsylvania Ave NW, Washington, DC",38.89869893252,-77.03518753691
The Andrew Young School of Policy Studies,"55 Park Place SE, Atlanta, GA 30303",33.75602307896,-84.387617072433
